"wn","VIP","PC1","PC2","PLS_p1","PLS_p2"
150.004,0.483729,-0.019244,0.015292,0.019254,0.003765
153.01,0.268728,-0.010706,0.014287,0.010711,0.001085
156.013,0.076012,-0.003019,0.008968,0.003023,0.003761
159.014,0.07904,0.003134,-0.001553,-0.003123,0.012855
162.014,0.145871,0.005715,-0.0124,-0.005698,0.018754
165.012,0.060458,0.002302,-0.019946,-0.00228,0.022059
168.009,0.159514,-0.006314,-0.009731,0.00633,0.013661
171.003,0.375726,-0.014864,0.011304,0.014864,-0.005015
173.996,0.483281,-0.019222,0.026027,0.019207,-0.021626
176.987,0.551802,-0.022014,0.037312,0.021989,-0.032607
179.976,0.577685,-0.023031,0.047117,0.022996,-0.042527
182.964,0.526492,-0.020782,0.051673,0.02074,-0.048918
185.95,0.41803,-0.016294,0.050233,0.016254,-0.045226
188.934,0.28482,-0.010819,0.057072,0.010773,-0.049057
191.916,0.177149,-0.005862,0.076087,0.005795,-0.068508
194.897,0.078859,-0.001731,0.085451,0.001656,-0.07512
197.876,0.096603,0.002972,0.087882,-0.003053,-0.079074
200.853,0.163976,0.004974,0.087883,-0.005063,-0.086762
203.828,0.193719,0.004576,0.082989,-0.00467,-0.091853
206.802,0.248908,0.005647,0.075348,-0.005743,-0.093903
209.774,0.250375,0.006193,0.059279,-0.006275,-0.079737
212.744,0.268531,0.006166,0.056464,-0.006248,-0.079998
215.713,0.309988,0.006185,0.071251,-0.006283,-0.095904
218.679,0.303881,0.004718,0.081965,-0.004824,-0.104599
221.644,0.302648,0.002849,0.083957,-0.002963,-0.113107
224.607,0.274074,0.00205,0.084095,-0.002165,-0.114448
227.569,0.260073,0.00283,0.083411,-0.002945,-0.113505
230.529,0.288706,0.005422,0.076985,-0.005535,-0.111236
233.487,0.319836,0.009129,0.067059,-0.009231,-0.098843
236.443,0.43517,0.014617,0.071554,-0.014718,-0.095714
239.398,0.511969,0.017261,0.083692,-0.017369,-0.1025
242.351,0.507876,0.016603,0.08658,-0.016714,-0.104742
245.302,0.519372,0.017695,0.079859,-0.017794,-0.093135
248.251,0.561022,0.020564,0.072059,-0.020647,-0.076225
251.199,0.655964,0.024158,0.071777,-0.024245,-0.077917
254.145,0.727659,0.026129,0.075419,-0.026226,-0.08865
257.089,0.81669,0.029543,0.081309,-0.029648,-0.094371
260.031,0.992208,0.03637,0.088664,-0.036484,-0.10138
262.972,1.144395,0.042576,0.082709,-0.042686,-0.095592
265.911,1.389021,0.053273,0.05911,-0.053355,-0.0638
268.849,1.875927,0.073266,0.030945,-0.073314,-0.023535
271.784,2.532365,0.099823,-0.00315,-0.099834,0.021996
274.718,3.357761,0.132705,-0.028082,-0.132692,0.057745
277.65,4.215281,0.166436,-0.042825,-0.166412,0.079038
280.581,4.88046,0.192631,-0.061241,-0.192594,0.101292
283.51,5.249201,0.207199,-0.067835,-0.207158,0.109962
286.437,5.199799,0.205104,-0.063423,-0.205067,0.104435
289.362,4.720434,0.186106,-0.056996,-0.186071,0.096841
292.285,3.929919,0.154655,-0.035371,-0.154638,0.068273
295.207,2.993206,0.117509,-0.009426,-0.117515,0.032792
298.128,2.13346,0.083701,0.016639,-0.083725,0.003904
301.046,1.45803,0.056884,0.041129,-0.056925,-0.022475
303.963,0.911161,0.035173,0.050067,-0.035222,-0.037717
306.878,0.522031,0.019757,0.056104,-0.019814,-0.049997
309.791,0.287965,0.010315,0.044239,-0.010362,-0.043908
312.703,0.109472,0.003281,0.025737,-0.003312,-0.02977
315.613,0.07511,-0.002926,0.015453,0.002905,-0.021024
318.521,0.208217,-0.008209,0.001625,0.008202,-0.009476
321.427,0.278653,-0.010582,-0.00557,0.010584,-0.001912
324.332,0.289812,-0.011142,0.002703,0.011136,-0.008737
327.235,0.286359,-0.011397,0.015804,0.011374,-0.026237
330.137,0.254075,-0.009963,0.017571,0.00993,-0.036073
333.036,0.245785,-0.009172,0.00644,0.009143,-0.032207
335.934,0.292786,-0.011494,0.008671,0.011464,-0.033557
338.831,0.35689,-0.014174,0.012968,0.014153,-0.025554
